itemsets,support
frozenset({'sex_Male'}),0.9025844930417495
frozenset({'cp_asymptomatic'}),0.7693836978131213
frozenset({'fbs_False'}),0.7912524850894632
frozenset({'restecg_normal'}),0.5546719681908548
frozenset({'exang_False'}),0.4095427435387674
frozenset({'exang_True'}),0.5904572564612326
frozenset({'age_40-60'}),0.6322067594433399
frozenset({'age_>60'}),0.31809145129224653
frozenset({'chol_Borderline'}),0.3399602385685885
frozenset({'chol_High'}),0.558648111332008
frozenset({'trestbps_Normal'}),0.39165009940357853
frozenset({'trestbps_High'}),0.4135188866799205
frozenset({'thalch_Normal'}),0.679920477137177
frozenset({'oldpeak_Mild'}),0.7952286282306164
"frozenset({'sex_Male', 'cp_asymptomatic'})",0.6938369781312127
"frozenset({'sex_Male', 'fbs_False'})",0.7117296222664016
"frozenset({'sex_Male', 'restecg_normal'})",0.4970178926441352
"frozenset({'sex_Male', 'exang_False'})",0.3658051689860835
"frozenset({'sex_Male', 'exang_True'})",0.536779324055666
"frozenset({'sex_Male', 'age_40-60'})",0.5765407554671969
"frozenset({'chol_Borderline', 'sex_Male'})",0.31610337972166996
"frozenset({'sex_Male', 'chol_High'})",0.48906560636182905
"frozenset({'sex_Male', 'trestbps_Normal'})",0.36779324055666
"frozenset({'sex_Male', 'trestbps_High'})",0.3658051689860835
"frozenset({'sex_Male', 'thalch_Normal'})",0.6262425447316103
"frozenset({'sex_Male', 'oldpeak_Mild'})",0.7137176938369781
"frozenset({'fbs_False', 'cp_asymptomatic'})",0.610337972166998
"frozenset({'restecg_normal', 'cp_asymptomatic'})",0.43737574552683894
"frozenset({'exang_True', 'cp_asymptomatic'})",0.510934393638171
"frozenset({'age_40-60', 'cp_asymptomatic'})",0.4870775347912525
"frozenset({'chol_High', 'cp_asymptomatic'})",0.4393638170974155
"frozenset({'trestbps_Normal', 'cp_asymptomatic'})",0.30218687872763417
"frozenset({'trestbps_High', 'cp_asymptomatic'})",0.3121272365805169
"frozenset({'cp_asymptomatic', 'thalch_Normal'})",0.5447316103379721
"frozenset({'oldpeak_Mild', 'cp_asymptomatic'})",0.6083499005964215
"frozenset({'restecg_normal', 'fbs_False'})",0.4850894632206759
"frozenset({'fbs_False', 'exang_True'})",0.49304174950298213
"frozenset({'fbs_False', 'age_40-60'})",0.5129224652087475
"frozenset({'chol_High', 'fbs_False'})",0.4274353876739563
"frozenset({'trestbps_Normal', 'fbs_False'})",0.34393638170974156
"frozenset({'fbs_False', 'trestbps_High'})",0.30417495029821073
"frozenset({'fbs_False', 'thalch_Normal'})",0.5407554671968191
